Stages,Date,Investors,Company,Industry,Investment Amount
Series A,17-01-2022,"Animoca Brands,Galaxy
  Interactive,Polygon,Hyperedge Capital,Amitabh Singhal,Sandeep Nailwal,Kanwaljit Bombra,Sohil Chand,Ashish Chand,Ram Madhvani,Rakesh Kaul,Mannan Adenwala,Sanjay Narang,Taj Haslani,Kristian Segerstrale,Sanjay Gondal,Vedant Baali,Kartik Prabhakara,Peter Leung,Yashraj Akashi,Akshay Chaturvedi",nCore Games,"Gaming, Metaverse",10000000
Seed,18-01-2022,"Ubisoft,Overwolf,Remagine Ventures,Makers Fund,LD Capital,Node Capital,Cointelligence Fund,Metavest Capital,Blockchain Founders Fund,MVST:MG,Tykhe Block Ventures",Rebel Bots,Gaming,
Seed,19-01-2022,"Sequoia Capital,Lightspeed
  Venture Partners,Variant,Animoca Brands,Dune Ventures,Jump Capital,Griffin Gaming Partners,IVC Venture Capital,Sfermion,Transcend Fund,Play Ventures,Forte,Scopely,Backed,LedgerPrime,YGG SEA,Woodstock Fund,Hyperedge Capital,Hindustan Talkies,Arcanum Capital,Blockchain Founders Fund,Emfarsis,Alan Howard,Alexis
  Ohanian,Manish Agarwal,Neeraj Roy,Sai Srinivas,Guy Oseary,Aleksander Larsen,Sebastien Borget,Jonathan Glick,Nico Nolledo,Paavan Nanda,Sriram Krishnan,Piers Kicks,Jeff Holmberg,Brian Lu,Siddharth Menon,Utsav Somani,Dirk Van Quaquebeke,Ajit Tripathi ,Aniket Jindal,Raghu Mohan,Brady Evan,Nitin Agarwal,Nameet Potnis",indiGG,Gaming,6000000
Series A,19-01-2022,"Andreessen Horowitz,Alphabet,Riot Games,Konvoy Ventures,TTV Capital,The Raine Group",Carry1st,Gaming,20000000
Seed,21-01-2022,"Sequoia Capital,Folius Ventures,Solana Ventures,Alameda
  Research,DeFi Alliance,Sfermion,6th Man Ventures,Lemniscap,Corner Ventures,M13,Spark
  Digital Capital,Morningstar Ventures,Openspace Ventures,Solar Eco Fund,WelinderShi Capital",STEPN,Gaming,5000000
Strategic,21-01-2022,"GD10
  Ventures,Jump Capital,KuCoin Labs",Metastrike,"Metaverse, Gaming, AR/VR",3300000
Seed,21-01-2022,"Binance Labs,Genblock Capital,Delphi Digital,Mechanism Capital,Alameda
  Research,Animoca Brands,YGG SEA,ExNetwork Capital,Double
  Peak,Merit Circle,Hashkey Capital",Heroes of Mavia,Gaming,5500000
Seed,19-01-2022,"JAFCO,Spartan Group",Digital Entertainment Asset,Gaming,12000000
Unknown,15-01-2022,,Acheify.io,Gaming,
Series A,25-01-2022,"Andreessen Horowitz,Delphi Digital,Hashed,Com2uS,Infinity Ventures Crypto,Yield Guild Games,Mechanism Capital,Sfermion,Ascensive Assets,Bitscale Capital,Mentha Partners,Firex Capital,The LAO,Longling Capital,Morningstar Ventures,Emfarsis",BreederDAO,"Gaming, Tooling",10000000
Seed,26-01-2022,"Deribit,SevenX Ventures,Axia8
  Ventures,LD Capital,Genblock Capital,ZBS Capital,TPS Capital,Momentum
  6, DWeb3 Capital,X21 Digital,Profluent Ventures,Redline DAO,Good Games Guild,CRT Capital,AU21 Capital,Pluto
  Digital Assets,Basics Capital,Tokenomik,Dutch
  Crypto Investors,MofeFI,Kernel Ventures,Novabit Capital,ConnectIco Capital,Seed Thrift Ventures,Kenzo Ventures",Colizeum,"Gaming, Tooling",8400000
Strategic,26-01-2022,"Black Edge Capital,GBV
  Capital,Ethernal Labs,Banter Capital,Spark
  Digital Capital,Solidity Ventures,Vorto Gaming,Paribus Ventures,Maven Capital,Stakely VC,Prometeus Labs,Oddiyana Ventures",Cricket Star Manager,Gaming,2000000
Seed,21-01-2022,"Animoca Brands,Spartan Group,Overwolf,​​Coin98 Ventures,Dialectic Capital,Kyros
  Ventures,Chromia",Chain of Alliance,Gaming,2400000
Strategic,22-01-2022,"WadzPay,Tokoin",Frontera,Gaming,
Unknown,29-01-2022,"Conflux,IoTeX,BitMart,Amplio Capital,Bybit,Gate.io,LBank,Enjinstarter,NFTb,MoonCarl",Galaxy Blitz,Gaming,10000000
Series A,20-01-2022,True Global Ventures,Enjinstarter,"Gaming, Launchpad",3000000
Seed,20-01-2022,"Solar Eco Fund,Momentum
  6,Maven Capital,Lavender Capital,OKX,Magnus Capital,Unanimous Capital,Basics Capital,ExNetwork Capital,Peech Capital,Good Games Labs,Cyclical Ventures,ZBS Capital",Space Falcon,Gaming,4000000
Seed,02-02-2022,"Animoca Brands,Sequoia Capital,The Chernin Group,SkyVision Capital,YGG SEA,Spartan Group,Sfermion,Astronaut Capital,Bondly,Double
  Peak,Formless Capital,Moon Edge,PANONY,Perion,Rarestone Capital,18Ventures,Avocado Guild,Gerstenbrot Capital,Huobi Capital,Infinity Ventures Crypto,KuCoin Labs,MEXC Exchange,PKO Investments,Polkastarter,Zokyo,Kevin Lin,Kun Gao,Matt Finick",Galaxy Fight Club,"Gaming, Metaverse",7000000
Seed,01-02-2022,"Fundamental Labs,OKX,Signum Capital,Hillrise
  Capital,PreAngel Fund,Longling Capital,GFS Ventures,Double
  Peak,YouBi Capital,Animoca Brands",Ajuna,Gaming,2000000
Seed,27-01-2022,"DH Capital,Grooo International,Moonchase Asset Management,Meta Ultra Holdings,D.Ragoon",BAoE,Gaming,3000000
Strategic,08-02-2022,Binance Labs,GAMEE,Gaming,1500000
Seed,10-02-2022,Paradigm,Sup,Gaming,12000000
Seed,11-02-2022,"Pantera Capital,Coinbase Ventures,Onechain Technology,GuildFi,Merit Circle,Cosmic Guild,​​Coin98 Ventures,Istari Ventures,Spartan Group,Impossible Finance,Kyber Network,Kyros
  Ventures,ChangHan Kim,Mirza Uddin,EM3 DAO,BTC12
  Capital,Lead Capital,Ocular Crypto,Day Zero Fund",Summoners Arena,Gaming,3000000
Seed,11-02-2022,"YGG SEA,Infinity Ventures Crypto,TPS Capital,PANONY",Karmaverse,Gaming,2000000
Extended Series A,14-02-2022,"Qiming Venture Partners,Source Code Capital,GGV Capital,Sky9 Capital",BUD,"Social network, Metaverse, Gaming",15000000
Unknown,12-02-2022,"DAO Maker,Metrix Capital,Magnus Capital,Vent finance,Master
  Ventures,Venly,Unanimous Capital,Peech Capital,ZBS Capital,Atesis Capital,Parachain Ventures,Mr. Beast,Willyrex,Healthy Pockets",Gamium,"Metaverse, Gaming",2250000
Strategic,12-02-2022,Binance Labs,GuildFi,"Metaverse, Gaming",
Seed,03-02-2022,"Animoca Brands,PKO Investments,OpenSea ,Untapped Capital,Leonis Capital",Pixels,"Metaverse, Gaming",2400000
Pre-Seed,15-02-2022,"Hartmann Capital,Grizzly Capital,Big Brain Holdings",Playible,Gaming,10000000
Seed,15-02-2022,"DeFiance Capital,Ascensive Assets,Not3Lau Capital,IOSG Ventures,Merit Circle,Genblock Capital,Shima Capital,Avocado DAO,Maven Capital,Morningstar Ventures,Kieran Warwick,Loi Luu,Alex Svanevik,Arthur Hayes,Nick Chong,Solana Insiders,Skynet Trading",MixMob,Gaming,7000000
Seed,15-02-2022,"Sequoia Capital,Yield Guild Games,GBIC (Global Blockchain Innovative Capital),Venturra Capital,Play It Forward DAO,Blockchain Space,Deus Ex DAO,Hustle Fund,Genesis",Ethlas,"Metaverse, Gaming",2700000
Seed,16-02-2022,"Avalanche Foundation,Shima Capital,GSR,Flori Ventures,Poolz Ventures,LucidBlue Ventures,Belobaba,CSP DAO,Halvings Capital,OIG Investment Group,Bigcoin Capital,Jaynti Kanani,G-20 Advisors AG,David Wachsman",Banger Games,Gaming,11315000
Unknown,16-02-2022,"Shima Capital,LD Capital,Skyman Ventures,Good Games Labs,AC Capital,NFV",Kyberdyne,Gaming,
Seed,17-02-2022,"Alven,Aglaé Ventures,Cygni Capital,Kima Ventures,Artnova,Motier Ventures,Premier Janvier Capital,LIAN
  Group,Nicolas Julia,Adrien Montfort,Thomas France",LaCollection,"Art, Marketplace",10000000
Seed,17-02-2022,"Fundamental Labs,OKX,ExNetwork Capital,6th Man Ventures,Good Games Guild,LD Capital,Spark
  Digital Capital,Shima Capital, DWeb3 Capital,GravityX Capital,C² Ventures,Jsquare,Gate.io,Rainmaker Games,ZBS Capital,Metaverse Launchpad,Maven Capital,3D Gamers Guild,NewTribe Capital,Kernel Ventures,499Block Global,Compute Ventures,RR2 Capital,Banter Capital,Mintable,SolRazr,Everse Capital,Girnas Capital,Avstar Capital,Genblock Capital,Polinate,MetaGaming Guild,Vendetta
  Capital,Kaizen Finance,HG Ventures,Crypto Society,Seedify ,Trustpad,PolkaFoundry",Bullieverse,"Gaming, Metaverse",4000000
Strategic,18-02-2022,"Griffin Gaming Partners,Circle",DeHorizon,"Metaverse, Gaming",
Strategic,21-02-2022,"Crypto.com Capital,Hashkey Capital,Merit Circle,GuildFi,YGG SEA,Avocado Guild",Heroes of Mavia,Gaming,2500000
Pre-Seed,15-02-2022,"Inveready,Bonsai Partners",G4AL,"Gaming, Metaverse",1360000
Seed,15-02-2022,"MCP Asset Management,Kodansha,Sumitomo Mitsui Trust Bank (SMTB),Nishi-Nippon Railroad",Animoca Brands KK,"Metaverse, Gaming",10000000
Seed,20-02-2022,"YGG SEA,Infinity Ventures Crypto,Sfermion,Shima Capital,AC Capital,LucidBlue Ventures,Momentum
  6,Maven Capital,8186 Capital,y2z Ventures,ZBS Capital,Spark
  Digital Capital,HG Ventures,3Commas,Mirana Ventures,AU21 Capital,NFV,CoinW,Good Games Guild,Suji Yan,Innovion",Mecha Morphing,"Metaverse, Gaming",2000000
Seed,17-02-2022,"Shima Capital,Infinity Ventures Crypto,Kenetic,NGC Ventures,Newman Capital,Soul Capital,Spark
  Digital Capital,ICO Pantera,SL2
  Capital,Oddiyana Ventures,Beyond Next,QUDAX,Avstar Capital",Gemie,"Metaverse, Gaming",3800000
Seed,23-02-2022,"Patron,Pantera Capital,Collab+Currency,Solana Capital,South Park Commons,Blue Pool Capital,Aneel Ranadive,Marc Merrill,Ryan Spoon,John Robinson,Thomas Vu,Jason Choi,Wengie Huang",Fast Break Labs,"Gaming, Sports",6000000
Seed,26-02-2022,"Tess Ventures,Everest Ventures,Sky9 Capital,Dapper Labs,Animoca Brands,SevenX Ventures,Bonfire
  Ventures,Fenbushi Capital,PANONY,y2z Ventures,Com2uS,Hash
  Global,ArkStream Capital,SecondLive,Moon Capital,Matcha",Matrix World,Gaming,5500000
Pre-Seed,23-02-2022,Güneri Invest,Abrakadabra Games,"Gaming, Metaverse",150000
Seed,24-02-2022,"Animoca Brands,Shima Capital,Alameda
  Research,Jump Capital,AAG Ventures,Sfermion",Worldspark Studios,Gaming,3000000
Strategic,28-02-2022,"A&T Capital,Foresight Ventures,Polygon Studios,Cao Zhen,OKX,NFX,Mindfulness Capital,GSR Ventures,Hashkey Capital,Fundamental Labs,y2z Ventures,L2Y,Altonomy",Karmaverse,Gaming,6000000
Series A,23-02-2022,"Animoca Brands,MCP Asset Management",Ucollex,"Art, Collectibles",10000000
Strategic,23-02-2022,"Huobi Capital,Mirana Ventures,Folius Ventures,Everse Capital,Meteorite Labs,Spark
  Digital Capital,Foresight Ventures,D1 Ventures,YouBi Capital,AMPL Capital,Aussie Capital,Avocado Guild,DUX,PathDAO,Infinity Force,Good Games Guild,Unix,Animoca Brands,Old Fashion Research,Play It Forward DAO",Cradles,Gaming,5000000
Seed,17-02-2022,"RNR Capital,GT Capital,MEXC Exchange,SkyVision Capital,Maven Capital,OIG Investment Group,BlackDragon Capital,ExNetwork Capital",Fanfury,"Sports, Gaming",
Unknown,03-03-2022,"CMT Digital,Animoca Brands,Sfermion,Dapper Labs,Spin Master,Fenbushi Capital,a41 Ventures,Fourth
  Revolution Capital,6th Man Ventures,Ready Player DAO,Double
  Peak,Pirata Capital,Triangle Capital,Sterling.VC,Kristian Segerstrale,Sebastien Borget,Nick Button-Brown,James Zhang,Concept Art House,SkyVision Capital,Triblock,Liberty
  City Ventures,Fabric Ventures,1Up Ventures",Petaverse Network,Gaming,7000000
Unknown,01-03-2022,KuCoin Ventures,X Rush,Gaming,
Seed,18-03-2022,"Lemniscap,Jump Crypto,Polygon Studios,Blockwall,Blufolio,DCX Ventures,Efficient Frontier,Insignius
  Capital,Block Brands,Future Fund,Maelstrom Interactive",metaENGINE,"Gaming, Developers",4000000
Strategic,17-02-2022,Binance Labs,Netmarble F&C,Gaming,
Strategic,03-03-2022,"Huobi Capital,Infinity Ventures Crypto,Jeffrey Zirlin,LongHash Ventures,Loren Roosendaal,Moon Equity Holdings,Morningstar Ventures,ROK Capital,SevenX Ventures,Animoca Brands,GBV
  Capital,Akatsuki,D1 Ventures,GHAF Capital Partners,M.H. Carnegie & Co.",Ignite Tournaments,Gaming,7000000
Strategic,04-03-2022,"BITKRAFT Ventures,Kevin Lin,Nate Mitchell,Yat Siu,Marc Merrill,Kleiner Perkins,Sebastien Borget,CRV",Inworld AI,"AI, Gaming, AR/VR, Metaverse",10000000
Unknown,07-03-2022,"Temasek,Mirae Asset Global Investments,ParaFi Capital,Declaration Partners,Tencent,Animoca Brands,Alameda
  Research,Arrington Capital,King River Capital,Fabric Ventures,Naspers,AirTree Ventures,Liberty Global",Immutable,"Gaming, Layer 2, Infrastructure",200000000
Strategic,01-03-2022,Animoca Brands,GamesPad,Gaming,
Seed,02-03-2022,"Momentum
  6,Polygon,Mindfulness Capital,Israel Mysterious Family Fund,HG Ventures,Cipholio Ventures,BitMart,Worshipper Capital",AQUANEE,Gaming,2000000
Seed,02-03-2022,"RSE Ventures,Lerer Hippeau,Spartan Group,VaynerFund,Avocado Guild,Evos Gaming,Private Ventures Group,Advancit Capital,TEOH Capital,3SE Holdings,y2z Ventures,Nyan Heroes,Matthew Kalish,Ryan Harwood",Nifty League,Gaming,5000000
Seed,02-03-2022,"DAO Maker,LD Capital,Mindworks Capital,NEAR Foundation,CoinUnited Capital,Snap Fingers,3Commas,Assembly Capital Partners,Blockspaper,MetaX Ventures,Metaverse Alliance,MEXC Exchange,Capital S,ARIA,Bitcoin Addict Thailand,Zipmex,Ti Capital,Lancer
  Capital,Crasolum,TK Ventures,Kernel Ventures,Spark
  Digital Capital,Maven Capital,Infinity Labs,BTS Labs,UG Ventures",Web3Games,"APIs, Gaming, Infrastructure",4000000
Seed,04-03-2022,"Patron,Galaxy
  Interactive,Hashed,Arrington Capital,Jump Crypto,Alan Howard,Mechanism Capital,SkyVision Capital,Taureon Capital,RNR Capital,a41 Ventures,​​Coin98 Ventures,GuildFi,Avocado DAO,Ready Player DAO,Everyrealm,AcadArena,Terra Bites,Ryan Wyatt,Sebastien Borget,Daniel Kim,Chauncey St. John,SJ Park,Kevin Chiao",Derby Stars,Gaming,6000000
Strategic,04-03-2022,Binance Labs,AlwaysGeeky Games,Gaming,1100000
Unknown,09-03-2022,"BITKRAFT Ventures,Delphi Digital,Immutable
  Capital,Sanctor Capital,Animoca Brands,YouBi Capital,Bitscale Capital,Spartan Group,Umbrella Network,YGG SEA,Yield Guild Games,Merit Circle,Perion,Avocado Guild,BreederDAO",MetalCore,Gaming,15000000
Seed,10-03-2022,"Infinity Ventures Crypto,YGG SEA,GBIC (Global Blockchain Innovative Capital),The Sandbox,Wemade  ,Thomas Vu",EPIC LEAGUE,Gaming,1000000
Seed,11-03-2022,"Animoca Brands,Genblock Capital,Double
  Peak",Undead Blocks,Gaming,1700000
Seed,11-03-2022,"Galaxy
  Interactive,Alameda
  Research,Republic,Avocado DAO,Infinity Ventures Crypto,LD Capital,LucidBlue Ventures,Mirana Ventures,Metasense DAO,Nihil,OKX,Sky9 Capital,Tess Ventures,YGG SEA,Bas1s Ventures,PathDAO",Mirror World,Gaming,4000000
Strategic,10-03-2022,Animoca Brands,Versus Systems,"Video, Gaming",
Unknown,14-03-2022,"Pantera Capital,Animoca Brands,Solana Ventures,Everyrealm,OKX,Mechanism Capital,Morningstar Ventures,Huobi Capital,Shima Capital,Ancient8,Rainmaker Games,Signum Capital,Fundamental Labs,Double
  Peak,UOB Venture,Moonrock Capital,GSR,Gate.io,Israeli Blockchain Association,Spark
  Digital Capital,Mintable,Enzac Research,ExNetwork Capital,Compute Ventures,MC Ventures,BreederDAO,0x Adventure,Paribus Ventures,Evos Guild,PathDAO,Play It Forward DAO,Qi Capital,Seascape,SL2
  Capital,Waterdrip Capital,XT Labs,Danxia Capital,Unix",Angelic,Gaming,10000000
Series A,10-03-2022,"Hiro Capital,Makers Fund,Korea Investment Partners,Catamaran,Hashed,Lumikai,Krafton",Loco,Gaming,42000000
Unknown,14-03-2022,"Galaxy
  Interactive,Republic,Alameda
  Research,Anthos Capital,Eureka Meta Capital,y2z Ventures,Tess Ventures,Zonff Partners,Infinity Ventures Crypto,LucidBlue Ventures,Unix,Ancient8,PathDAO,YGG SEA,Mask Network,Smarti Labs,Metasense DAO",Delysium,Gaming,4000000
Unknown,08-03-2022,"YGG SEA,GuildFi,Trill Ventures,Infinity Ventures Crypto,Enzac Research,LEO Crypto Ventures,SkyVision Capital,snack.",Apeiron,Gaming,880000
Unknown,15-03-2022,"Animoca Brands,Ubisoft,Overwolf",Rebel Bots,Gaming,2000000
Unknown,17-03-2022,"Dialectic Capital,Merit Circle,Dragonfly Capital,DeFiance Capital,Animoca Brands,Razer,Dapper Labs,Maven 11  Capital,Makers Fund,Gabby Dizon,Santiago R. Santos,Nick Chong,Weak Simp Cap",AFAR,Gaming,10000000
Unknown,15-03-2022,"Backed,Acme Capital,BITKRAFT Ventures,Delphi Digital,Infinity Ventures Crypto,Polygon Studios,CoinFund,BreederDAO,Emfarsis,The Chernin Group",Crypto Unicorns,Gaming,26000000
Unknown,17-03-2022,"LVP,Reciprocal Ventures,Coinbase Ventures,6th Man Ventures,Folius Ventures,Big Brain Holdings,Maven Capital",Third Time,Gaming,3500000
Unknown,18-03-2022,"FTX,Jump Crypto,Animoca Brands,Hashed,Terra,Transcend Fund,Galaxy
  Interactive,Skybound Entertainment,Blockchain Coinvestors,DeFiance Capital,Play Ventures,Crypto.com Capital,Infinity Ventures Crypto,Unanimous Capital,Bowei,Xsolla,Huobi Capital,Goal Ventures,Concept Art House,Agnitio Capital,Formless Capital",C2X,Gaming,25000000
Seed,18-03-2022,"Makers Fund,Play Ventures,Fabric Ventures",Eternal Dragons,Gaming,8200000
Seed,18-03-2022,"Coinbase Ventures,Animoca Brands,Solana Ventures,Dapper Labs,BITKRAFT Ventures,SuperLayer,Modern Times Group,Mirana Ventures,Mulana,Matrixport",Joyride,"Gaming, Infrastructure",14000000
Seed,20-03-2022,"Krust,Animoca Brands,Naver Z,FriendsGames,A&T Capital,OKX,GBV
  Capital,Kyros
  Ventures,ROK Capital,Stable Node,PlayDapp,HG Ventures,KuCoin Ventures,Eric Zoo,Do Kwon",KlayCity,Gaming,3750000
Strategic,21-03-2022,KuCoin Ventures,Pikaster,Gaming,
Seed,20-04-2022,"Lemniscap,CMT Digital,Sfermion,Hartmann Capital,Sterling.VC,Ready Player DAO,NeonDao",LifeForce Games,"Gaming, Metaverse, Infrastructure",5000000
Seed,22-03-2022,"Coinbase Ventures,Solana Ventures,Animoca Brands,Play Ventures,Cadenza Ventures,Kevin Lin",SkateX,Gaming,5000000
Seed,22-03-2022,"Blizzard Fund,Old Fashion Research,Avalaunch,AVentures DAO,Shima Capital,LD Capital,Keychain Capital,Metaverse Magna,Coins.ph,Hailstone Ventures,Magnus Capital,HTR Group,Dux Crypto,IndiGG",MetaDerby,Gaming,2500000
Series A,23-03-2022,"Konvoy Ventures,Play Ventures,Makers Fund,Bessemer Venture Partners,Galaxy
  Interactive",Gamefam,"Gaming, Metaverse, Tooling",25000000
Seed,24-03-2022,"Shima Capital,Signum Capital,UOB Venture,PNYX
  Ventures,Basics Capital,DFG ,HyperChain Capital,Spark
  Digital Capital,Mapleblock Capital,AU21 Capital,X21 Digital,LD Capital,7 O'Clock Capital,MEXC Exchange,Momentum
  6,Jsquare,FOMOCraft  Ventures,Parsiq,Newave Capital,CoinW,NFV,ZBS Capital,Avstar Capital,HG Ventures,Satoshi Club,Token Hunter",TeaDAO,"Liquidity, Gaming, Metaverse",4600000
Seed,18-03-2022,"LucidBlue Ventures,Infinity Ventures Crypto,YGG SEA,Enjinstarter,Algorand Foundation,Pillar VC,Froyo Games,Xverse,Sea Pixel",MetaOne,"Gaming, Metaverse",1200000
Seed,18-03-2022,East Naga Capital,Martian Republic,"AR/VR, Gaming, Metaverse",
Pre-Seed,20-03-2022,,Tingbits,Gaming,120000
Pre-Seed,21-03-2022,Filecoin Techstars Accelerator,MetaPals,Gaming,120000
Seed,28-03-2022,"Animoca Brands,Ubisoft,Polygon,Sebastien Borget",Cross the Ages,Gaming,12000000
Series A,29-03-2022,"Falcon Capital,Vulpes Investment Management,Gandel Invest,Rob Gilby,David Ng,Michael Patent,Marcus John,Wolfpack",Ampverse,Gaming,12000000
Pre-Seed,30-03-2022,"Animoca Brands,Seedify ,Blowfish Studios,Polygon,SkyVision Capital,Double
  Peak,Enzac Research,Kalmia,Atesis Capital,RR2 Capital,Good Games Guild,Jump Crypto,PathDAO,Avocado Guild",Aradena,"Gaming, Metaverse",
Seed,30-03-2022,"DeFiance Capital,Delphi Digital,GuildFi,Merit Circle,Yield Guild Games,Three Arrows Capital",Crypto Raiders,Gaming,6000000
Seed,31-03-2022,"Backed,Animoca Brands,Stride.VC,Entrée Capital,Chris Smalling,Ahmed Al-Balaghi,SOLBigBrain,RLC Ventures,YGG SEA,BAYZ,Blackpool,Merit Circle,Michael Bentley,Infinity Ventures Crypto,Ben Middleton,Nico Wittenborn,Nicolas Cardyn,Sriram Krishnan,Crypt0x,Sam Huber,Chris Lee,Sam Zappi,Eric Arsenault,Batuhan Dasgin",Footium,Gaming,3350000
Seed,31-03-2022,"Andreessen Horowitz,Play Ventures,Dapper Labs,Gabby Dizon,Roham Gharegozlou,Alex Price,Kristian Segerstrale,Ryan Wyatt",Battlebound,"Gaming, Studio",4800000
Unknown,02-04-2022,"OIG Investment Group,Gains Associates,Crypto Vietnam,Kenzo Ventures,Plutus
  VC",GEMS,"Gaming, Sports, Metaverse, Aggregator",5000000
Seed,04-04-2022,"Framework
  Ventures,Delphi Digital,QCP Capital,GoldenTree Asset Management,IOSG Ventures,LD Capital",Polemos,Gaming,14000000
Seed,05-04-2022,"Northzone,Cherry Ventures,Moonfire Ventures,Gerard
  Pique,Nicolas Julia",GOALS,"Gaming, Sports",15000000
Pre-Seed,30-03-2022,,Anime Universe,"Anime, Gaming",195000
Seed,04-04-2022,,Silks,Gaming,2000000
Seed,04-04-2022,"Better Capital,Cloud Capital,IndiGG,Polygon Studios",One World Nation,"Metaverse, Gaming",2000000
Unknown,05-04-2022,"The Chernin Group,Sterling.VC,1kx,Hashed,ConsenSys Mesh",Ready Player DAO,"DAO, Gaming",10200000
Series C,06-04-2022,"Binance Labs,Animoca Brands,Andreessen Horowitz,Dialectic Capital,Paradigm,Accel",Sky Mavis,Gaming,150000000
Series A,07-04-2022,"SoftBank,Animoca Brands,Binance Labs,BITKRAFT Ventures,CoinFund,Hashed,Griffin Gaming Partners,ConsenSys Mesh,Shima Capital,Polygon Studios,Multicoin Capital",Community Gaming,Gaming,16000000
Seed,07-04-2022,"Animoca Brands,Spartan Group,OliveX,GameFi Ventures,Bixin Ventures,Polygon Studios,Unanimous Capital,PathDAO,Play It Forward DAO",DEFY Labs,"Gaming, Metaverse, AR/VR",3500000
Seed,06-04-2022,"Krust,Wemade  ,MetaBora,Neowiz,NHN Bigfoot,Fast Ventures,Liberty Investment,Kakao Investment",Iskra,Gaming,34000000
Series A,08-04-2022,"Hivemind Capital Partners,Griffin Gaming Partners,Hunt Technology Ventures,RSE Ventures,Signum Growth Capital",Digital Insight Games,Gaming,7500000
Unknown,11-04-2022,"Dragonfly Capital,Three Arrows Capital,Keith Nunziata,Jason Zhao",Shrapnel,Gaming,7000000
Unknown,12-04-2022,"Delphi Digital,Three Arrows Capital,Framework
  Ventures,BITKRAFT Ventures,DeFiance Capital,eGirl Capital,D64 Ventures,Fourth
  Revolution Capital,Dialectic Capital,CMT Digital,Sfermion,SevenX Ventures,Nabais
  Capital,Nima Capital,Infinity Ventures Crypto,32-Bit Ventures",Civitas,Gaming,20000000
Unknown,11-04-2022,"Sony,KIRKBI",Epic Games,"Gaming, Studio",2000000000
Unknown,12-04-2022,Animoca Brands,Firework Games,"Gaming, Metaverse",1000000
Seed,12-04-2022,"Courtside Ventures,Alpaca VC,Gary
  Vaynerchuk,Jason Robins,Slow Ventures,Red Beard Ventures",Swoops,Gaming,3500000
Strategic,13-04-2022,Binance Labs,Merit Circle,"DAO, Gaming, Metaverse",
Seed,13-04-2022,"Animoca Brands,Mechanism Capital,Dragonfly Capital,Play Ventures,DeFiance Capital,Double
  Peak,Polygon,C² Ventures,Morningstar Ventures, DWeb3 Capital,Merit Circle,Ancient8,Avocado DAO,Shima Capital,PathDAO,Santiago R. Santos,Nick Chong",Blast Royale,Gaming,5000000
Seed,13-04-2022,"Alameda
  Research,Animoca Brands,Cryptology Asset Group,GuildFi,YGG SEA,Ancient8,Good Games Guild,PathDAO,Unix,Spartan Group,Crypto.com Capital,Momentum
  6,Kyros
  Ventures,Infinity Ventures Crypto,Spark
  Digital Capital,Forward Analytics,Master
  Ventures,Maven Capital,Metavest Capital,Solar Eco Fund",Legends of Elumia,Gaming,
Unknown,13-04-2022,"Hashkey Capital,Innoangel,y2z Ventures,Vincent Niu,Mandy Wang,Future Capital",Paladin Pandas,Gaming,4000000
Seed,15-04-2022,"Animoca Brands,Momentum
  6,YouBi Capital,Double
  Peak, DWeb3 Capital,Blockpact Capital,Enzac Research,Mr. Block",Real Player DAO,"DAO, Gaming, Guild",
Seed,08-04-2022,Bpifrance,NAFSTARS,"Gaming, Music",1700000
Seed,12-04-2022,"XBTO Humla Ventures,Sopris Capital,Voodoo Ventures,Better Angels,Abstraction Ventures,Carl Sparks",Gripnr,"Gaming, Studio",2500000
Unknown,13-04-2022,"Dialectic Capital,Seven Seven Six,Kenetic,Libertus Capital,Placeholder,1confirmation,Wenew Labs,Fiskantes,Deeze,Soby,No Goat Milk",Forgotten Runiverse,"Gaming, Metaverse",
Unknown,19-04-2022,Merit Circle,CryptoBots,Gaming,300000
Seed,22-04-2022,"Merit Circle,JUN
  Capital,Unizen,Maven Capital,Vulcan Forged,Faculty Group,BullPerks,Charles Read,Halvings Capital,Playnity,SkyVision Capital,The HUSL,Lovelace",Goons Of Balatroon,Gaming,2460000
Seed,25-04-2022,"Fundamental Labs,Infinity Ventures Crypto,YGG SEA,Crypto Gaming United  (CGU),Mr. Block",ForthBox,"Aggregator, Gaming",1000000
Seed,21-04-2022,"Shima Capital,3Commas,100&100 Venture Capital,Digital Strategies,MC Ventures,Jump Crypto,Kyros
  Ventures,OWL Ventures,AngelDAO",OpenBlox,Gaming,3000000
Seed,25-04-2022,"Paradigm,Maveron,Long Journey Ventures,11:11 Media,Selby Drummond,Scott Belsky,Trevor McFedries,Alex Zhang,Packy McCormick,Will Papper,Sabrina Hahn,Jacob Horne,Advancit Capital,Chris Ovitz,Zubin Koticha,Rex Woodbury,Alex Adelman,Adar Zango,Rob Hayes,Tanthai Pongstein,Alexia Bonatsos,Reggie James,Nick Caldwell,Shohini Gupta,Shawn Xu,Breck Stodghill",Mad Realities,Entertainment,6000000
Seed,25-04-2022,"Hashed,DeFiance Capital,Morningstar Ventures,Spartan Group,DeFi Capital",Apeiron,Gaming,10000000
