Stages,Date,Investors,Company,Industry,Investment Amount
Seed,23-07-2021,"Digital Finance Group,Waterdrip Capital,Kirin Fund,SoftBank,imToken
  Ventures,Signum Capital,AU21 Capital,Consensus Lab,Lancer
  Capital,Damo Labs,Chain Capital,Bitrise Capital,Legos Capital,LD Capital,Gate.io,Ti Capital,Chain Renaissance,R8 Capital,Skywater Capital,Bella,Amedeo Capital,N7 Labs,Quest Capital,7 O'Clock Capital,CryptoDiffer,Candaq,Homi Global Investment,Beepcrypto,YBB
  Foundation,Searchlight Capital,BitMart,ChainVC.Ltd,Anduyo Nelson,Poolz Ventures,Sky High Tech Limited,Nova Club,MathWallet",CryptoArt.Ai,"Marketplace, Art",2400000
Seed,27-07-2021,"Animoca Brands,Blockchain Founders Fund,Enjin,Polygon,Yield Guild Games,Gate.io,3Commas,Alpha
  Sigma Capital,AGE Crypto,TechmeetsTrader,Ran Neuner ",Splinterlands,"Gaming, Collectibles",3600000
Seed,27-07-2021,,BitSport,"Sports, Gaming",85000
Pre-Series A,29-07-2021,"CMT Digital,The Xchange Company,BITKRAFT Ventures,Khaled Verjee,Zyshan Kaba",Horizon Blockchain Games,"Gaming, Studio",4500000
Unknown,17-07-2019,"Polychain Capital,Initialized Capital,Golden
  Ventures,Digital Currency Group,Coinbase Ventures,Inovia Capital,Two
  Small Fish Ventures",Horizon Blockchain Games,"Gaming, Studio",3800000
Unknown,27-07-2021,Optimista Capital,StormX,"Gaming, Cashback",9000000
Seed,01-08-2017,"Walden Bridge Capital,Steven Nerayoff,Marc Brands,Ari Paul,Anthony Di Iorio",StormX,"Gaming, Cashback",525000
Seed,17-02-2021,"Winklevoss Capital,Warner Music Group,Sinai Ventures,Shrug Capital,Raised in Space Enterprises,Matthew Ball,Mark Pincus,MaC Venture Capital,Kevin Mayer,Kevin
  Durant",Artie,"Metaverse, Gaming",10000000
Seed,04-08-2021,"Animoca Brands,Divergence Ventures,IDEO Colab Ventures,Sfermion,Hypersphere Ventures,SkyVision Capital,Zilliqa Capital,Taureon Capital,ROK Capital,Cultur3 Capital,BlockCrafters,Stani Kulechov,Jeffrey Zirlin,DSRV Labs",Nine Chronicles,Gaming,2600000
Pre-Seed,10-05-2021,Outlier Ventures,100x Studio,Art,
Unknown,19-08-2021,Andreessen Horowitz,Yield Guild Games,Gaming,4600000
Seed,20-08-2021,"Signum Capital,HyperChain Capital,OKX",DeFi Warrior,Gaming,2300000
Unknown,01-09-2021,"Andreessen Horowitz,Union Square Ventures,Variant,Divergence Ventures,ConsenSys Mesh,The LAO,Pixel Vault",Fingerprints,"Curation, Collectibles, Art",
Seed,14-05-2018,ConsenSys Mesh,DADA,"Art, Marketplace",
Seed,01-07-2021,"Collateral Ventures,OIG Investment Group,Gains,Solar Eco Fund,BlackDragon Capital,Floem Capital",Project SEED,Gaming,
Seed,05-09-2021,"DAO Maker,Seedify ,Trustpad,Banter Capital,Polygon,NGC Ventures,Psquare
  Capital,Maven Capital,Dokia
  Capital,coinIX,MVST:MG,Brilliance
  Ventures,Metrix Capital,Cointelligence Fund,SWGI,Lupa X Capital,Pluto
  Digital Assets,LucidBlue Ventures,6th Man Ventures",Snook,Gaming,2400000
Seed,09-09-2021,"Animoca Brands,Alameda
  Research,Jump Capital,NGC Ventures,Solana Foundation,Gate.io",DeFi Land,"Gaming, Farming",4100000
Seed,09-09-2021,"Signum Capital,Mapleblock Capital,HyperChain Capital,DFG (Dynamic Fintech Group),Jsquare,AU21 Capital,X21 Digital,SkyVision Capital,Kyros
  Ventures,Oraichain,Imba Games Studio",Kawaii Islands,Gaming,2400000
Series B,14-09-2021,"AirTree Ventures,Alameda
  Research,Apex Capital Partners,Fabric Ventures,BITKRAFT Ventures,Galaxy
  Interactive,King River Capital,Reinventure,VaynerFund,Prosus Ventures",Immutable,"Gaming, Layer 2, Infrastructure",60000000
Series A,23-09-2019,"Reinventure,Prosus Ventures,Galaxy
  Interactive,EOS VC Fund,Apex Capital Partners",Immutable,"Gaming, Layer 2, Infrastructure",15000000
Seed,18-07-2018,"Sora Ventures,Nirvana Capital,Continue Capital,Coinbase Ventures",Immutable,"Gaming, Layer 2, Infrastructure",2400000
Seed,14-09-2021,"GBV
  Capital,Faculty Group,Boxmining,Morningstar Ventures,Impossible Finance,X21 Digital,4SV,Black Edge Capital",FUFU,"Marketing, Gaming",1700000
Seed,08-09-2021,"Panda Capital,Luna Capital,LucidBlue Ventures",Ulti Arena,"Marketplace, Gaming",4000000
Seed,15-09-2021,"Lattice,Framework
  Ventures,Kleiner Perkins,Blockchain Capital,Distributed Global,Maven 11  Capital,Red Beard Ventures,Double
  Peak,NGC Ventures,OP Crypto,Triblock,Dan Rubin,Derek Hsue,Pim de Witte,Sebastien Borget,Gabby Dizon,Piers Kicks,Multicoin Capital,CMT Digital,Fulgur Ventures,Nikil Viswanathan",Stardust,"Gaming, Metaverse",5000000
Seed,16-09-2021,"OKX,FBG Capital,Infinity Ventures Crypto,Soul Capital,Kenetic,a41 Ventures,TK Ventures,Grenade Lab,ICO Pantera,Kyros
  Ventures,CryptoKudasaiJP,Avstar Capital,Bitcoin Addict Thailand,Vendetta
  Capital,Sunrise Dragon,CatcherVC",Kollect,"Gaming, Collectibles",2000000
Seed,20-09-2021,"Megala
  Ventures,Raptor Capital,DAO Maker,UG Ventures,Interchain Ventures,Magnus Capital,X21 Digital,Basics Capital,CinchBlock,IceTea Labs,Metrix Capital,Crypto Viet Labs,Kyros
  Ventures,Alpha Moon Capital,Tienthuattoan Capital,Saigon TradeCoin,MCG Capital,CoinF,Infinity Capital,OnBlock Ventures,TK Ventures,Crypto Checker,SS Ventures,KiwiGROUP,HC Capital,Wings Ventures",Heroes & Empires,Gaming,1500000
Seed,16-09-2021,"DAO Maker,UG Ventures,Megala
  Ventures,Everse Capital,Gate.io,Wings Ventures,Kyros
  Ventures,Trade Coin Vietnam,Raptor Capital,Magnus Capital,Crypto Viet Labs,Infinity Capital,Crypto Checker,MCG Capital,Blue Node Capital,CoinF,Metrix Capital,CinchBlock,TK Ventures,OnBlock Ventures,Nabais
  Capital,X21 Digital",Starpunk Metaverse,"Launchpad, Gaming",1800000
Seed,13-09-2021,"Dutch
  Crypto Investors,ExNetwork Capital,X21 Digital,AU21 Capital,DuckDAO,GD10
  Ventures,Legion Ventures,OIG Investment Group,DeltaHub
  Capital,Seedify ,Global Key Investment,Dreamboat Capital",Monsters Clan,Gaming,1350000
Series B,21-09-2021,"SoftBank,Rio Gavin Ferdinand,LionTree,Institutional Venture Partners,Headline,Gerard
  Pique,Eurazeo,D1 Capital Partners,blisce,César Azpilicueta",Sorare,Gaming,680000000
Series D,22-09-2021,"Coatue
  Management,GV,Andreessen Horowitz,Version One Ventures,GIC",Dapper Labs,Gaming,250000000
Seed,22-09-2021,"Crypto.com Capital,Animoca Brands,​​Coin98 Ventures,Jump Capital,NGC Ventures,Impossible Finance,Kyros
  Ventures,Drops Ventures,X21 Digital,Bitscale Capital,Crypto J,Sanctor Capital",Mines of Dalarnia,"Gaming, Real estate",2700000
Seed,28-09-2021,"Coinbase Ventures,NFX,Mark Cuban,Gary
  Vaynerchuk,Dapper Labs,Arrington Capital,Animoca Brands,Cooper
  Turley ,Devin Finzer,Scalar Capital,Tony Sheng,Lattice,Kevin Lin,Alexandra Botez,Robert Leshner ,Jeff Zirlin,Matt Finick,James Park,Ray Chan,Village Global,Broadhaven Capital Partners,A_capital",Eternal,"Gaming, Marketplace",4500000
Seed,23-09-2021,"X21 Digital,Animoca Brands,Polygon,Genblock Capital,KuCoin Labs,Magnus Capital,DuckDAO,Dreamboat Capital,Shima Capital,Wendy O",Bloktopia,"Metaverse, AR/VR, Gaming",4200000
Seed,27-09-2021,"AU21 Capital,DAO Maker,X21 Digital,IceTea Labs",HeroVerse,Gaming,
Seed,02-10-2021,"DAO Maker,LD Capital,Metrix Capital",Demole,Gaming,650000
Series B,04-10-2021,"Andreessen Horowitz,Paradigm,Accel,FTX,Seven Seven Six,SamsungNext,Fabric Ventures,Standard Crypto,Rainfall,Cultur3 Capital,Not Boring Capital,Backed,VaynerFund,500 Vietnam,DIGITAL,SNÖ",Sky Mavis,Gaming,152000000
Seed,05-10-2021,"Genesis Builders,DAO Maker,Momentum
  6,Master
  Ventures,Animoca Brands,Clovers Ventures,Infinity Capital",Warena,"Metaverse, Gaming",1500000
Seed,06-10-2021,"True Ventures,Galaxy
  Interactive,Collab+Currency,Libertus Capital,FlamingoDAO,The LAO",Art Blocks,Art,6000000
Seed,07-10-2021,"DeFiance Capital,Mechanism Capital,Spartan Group,Digital Currency Group,Maven 11  Capital,OP Crypto,Dialectic Capital,CitizenX Crypto Ventures,Yield Guild Games,Bitscale Capital,Jiho Zirlin,Alex Svanevik,Isaac Lidsky,Richard Ma,gmoney ,Kieran Warwick,Danny Wilson,Kristaps Vaivods,Tin Nguyen,Ryan Berkun,Calvin Chu,Bobby
  Ong,Piers Kicks,Sergei Chan",Merit Circle,"DAO, Gaming, Metaverse",4500000
Seed,04-10-2021,"Terranova,Autonomy Capital,X21 Digital",Spellfire,Gaming,360000
Seed,08-10-2021,"Mechanism Capital,Ascensive Assets,Republic,Everest Ventures,Polygon Studios,DeFi Alliance,Morningstar Ventures,LD Capital,SevenX Ventures,GFS Ventures,LongHash Ventures,OKX,3Commas,Bitcoin.com,Infinity Ventures Crypto,LucidBlue Ventures,Momentum
  6,Double
  Peak,Genblock Capital,Lotus Capital,ExNetwork Capital,Mentha Partners,Tenzor Capital,Spark Capital,Spartan Group,Basics Capital,SpaceHD Ventures Ltd,Kerve Capital,BR Capital,8186 Capital,JRR  Capital,ZMT Capital,Cointelligence Fund,Caballeros Capital,Israeli Blockchain Association,D1 Ventures,X21 Digital,Digistrats,Firefi Capital,Cyberight Capital,Bitrise Capital,FT Ventures,Fundamental Labs,Eden Holdings,Kernel Ventures,ZB
  Capital",OP Games,"DAO, Gaming",8600000
Seed,10-10-2021,"IDEO Colab Ventures,Animoca Brands,SkyVision Capital,Stani Kulechov",Treeverse,Gaming,
Seed,10-10-2021,"Hashed,HyperChain Capital,Kyber Network,Signum Capital,DeFi Capital,FOMOCraft  Ventures,​​Coin98 Ventures,SotaTek,Kyros
  Ventures,Avocado Guild,VCC Holdings,Zego Studio",Elpis Global,Gaming,2150000
Seed,08-10-2021,"Sfermion,Spartan Group,Huobi Capital,LD Capital,Signum Capital,Animoca Brands,Republic Realm,Israeli Blockchain Association, DWeb3 Capital,YouBi Capital,D1 Ventures,Sandeep Nailwal,Michael Kam,Jeremy Ong,Suji Yan,Kieran Warwick,Harsh Rajat",Cradles,Gaming,1200000
Seed,07-10-2021,"Magnus Capital,Kyber Network,Lua Ventures,AU21 Capital,Basics Capital,Momentum
  6,X21 Digital,Cosmos Gaming Hub,OneSoft,IceTea Labs,Moonwhale
  Ventures,ZBS Capital,BSCStation,Kardia Ventures,CryptoDiffer,Genesis Builders,Mandy ICO Research,Black Mamba Ventures,VBC Ventures,K300 Ventures,BMW Capital,Titans Ventures,Clovers Ventures,TK Ventures,OnBlock Ventures,Space Crypto Ventures,DEC Ventures,Onebit Ventures,KiwiGROUP,Vitex Capital,RADA Community,Bigcoin Capital,Black Ventures,Mayor
  Capital,Migoi Crypto,Chill Crypto Community,Alpha Moon Capital,Dutch
  Crypto Investors,Synapse Network,Crypto Daily,CryptoChecker,CMC Capital,Redhat Capital,Dreamboat Capital",DareNFT,"Marketplace, Launchpad, Gaming",2400000
Pre-Series A,11-10-2021,"Everest Ventures,Sfermion,Dragonfly Capital,Animoca Brands,Yield Guild Games,Mechanism Capital,gumi Cryptos,Infinity Ventures Crypto,Bitscale Capital,Republic Realm,YouBi Capital,The LAO,LD Capital,Dialectic Capital,Momentum
  6,Stable Node,Taureon Capital,Digital Finance Group,Zonff Partners,Pluto
  Digital Assets,WaYi,Crasolum,LucidBlue Ventures,OKX,Maeve Ventures,Jerome Wong,Darren Lau,Santiago R. Santos,Ruby Capital,Meteorite Labs,Tess Ventures,Kardia Ventures,Akatsuki,Puzzle Ventures,Formless Capital,Miss ₿itcoin,Bo Feng",DeHorizon,"Metaverse, Gaming",8500000
Seed,29-09-2021,"Animoca Brands,HECO,Polygon,pNetwork,SkyVision Capital,ChainBoost,GD10
  Ventures,Everse Capital,Polkastarter,MoonEdge,Morningstar Ventures,DeltaBCFund,Hyperedge Capital,Hyperion Alpha,Safe Launch,Ignition,Chain Flow Capital,Double
  Peak, DWeb3 Capital,ZBS Capital",Blockchain Monster Hunt,Gaming,3800000
Seed,15-10-2021,"BITKRAFT Ventures,Transcent Fund,Delphi Digital,Polygon Studios",Laguna Games,Gaming,5000000
Seed,18-10-2021,"OKX,Mapleblock Capital,LD Capital,Basics Capital,Twin Apex Capital,AU21 Capital,Alves Ventures,Kyros
  Ventures,FOMOCraft  Ventures,Titans Ventures,Signal Ventures,Scorpio VC,Master
  Ventures,ExNetwork Capital,Dutch
  Crypto Investors,OIG Investment Group,Kieran Warwick",Good Games Guild,"Gaming, DAO",1700000
Seed,18-10-2021,"Konvoy Ventures,Pantera Capital,Old Fashion Research,Alameda
  Research,Solana Ventures,Xoogler Ventures,Mechanism Capital,Collab+Currency,Spartan Group,Animoca Brands,OliveX,Hyper,CMT Digital,DeFi Alliance,Eniac Ventures,CMS Holdings,GBV
  Capital,Yield Guild Games,Merit Circle,Bitscale Capital,Infinity Ventures Crypto,Evernew
  Capital,Fundamental Labs,Valhalla Capital,CinchBlock,Raptor Capital,Magnus Capital,Prabhakar Reddy,Richard Ma,Kevin Lin,John Robinson,Brian Corrigan,Keisuke Honda,Melanie Strong",Genopets,Gaming,8300000
